Atom,BasisSet,LightSpeed,Energy
Kr,def2-svp,2192.575824,-1270.757994274354
Kr,def2-svp,4385.151648,-1270.63161295956
Ne,def2-svp,34.25899725,-96.742199289657
Ne,def2-svp,68.5179945,-94.10438360536
Ne,def2-svp,137.035989,-93.409136478597
Ne,def2-svp,274.071978,-93.232810505161
Ne,def2-svp,548.143956,-93.188566290936
Ne,def2-svp,1096.287912,-93.177494972355
Ne,def2-svp,2192.575824,-93.174726499625
Ne,def2-svp,4385.151648,-93.174034341226
Ar,def2-tzvp,34.25899725,-346.986333688518
Ar,def2-tzvp,68.5179945,-321.549902863173
Ar,def2-tzvp,137.035989,-314.129013144224
Ar,def2-tzvp,274.071978,-312.183496065595
Ar,def2-tzvp,548.143956,-311.690733739575
Ar,def2-tzvp,1096.287912,-311.567128107606
Ar,def2-tzvp,2192.575824,-311.536200474145
Ar,def2-tzvp,4385.151648,-311.528466922068
He,def2-tzvp,34.25899725,-2.83695738932
He,def2-tzvp,68.5179945,-2.833659549535
He,def2-tzvp,137.035989,-2.832835653807
He,def2-tzvp,274.071978,-2.832629714945
He,def2-tzvp,548.143956,-2.832578232418
He,def2-tzvp,1096.287912,-2.832565361924
He,def2-tzvp,2192.575824,-2.832562144308
He,def2-tzvp,4385.151648,-2.832561339905
Kr,def2-tzvp,34.25899725,-1695.333349872014
Kr,def2-tzvp,68.5179945,-1417.167469094351
Kr,def2-tzvp,137.035989,-1311.963481553548
Kr,def2-tzvp,274.071978,-1281.411664879528
Kr,def2-tzvp,548.143956,-1273.409589956658
Kr,def2-tzvp,1096.287912,-1271.383120352737
Kr,def2-tzvp,2192.575824,-1270.874808344311
Kr,def2-tzvp,4385.151648,-1270.747623112787
Ne,def2-tzvp,34.25899725,-97.169765646417
Ne,def2-tzvp,68.5179945,-94.188865190672
Ne,def2-tzvp,137.035989,-93.455355830468
Ne,def2-tzvp,274.071978,-93.272572017958
Ne,def2-tzvp,548.143956,-93.226908752904
Ne,def2-tzvp,1096.287912,-93.215494889735
Ne,def2-tzvp,2192.575824,-93.212641544481
Ne,def2-tzvp,4385.151648,-93.211928215676
Ar,pc-1,34.25899725,-346.957836618816
Ar,pc-1,68.5179945,-321.555821047374
Ar,pc-1,137.035989,-314.127833844367
Ar,pc-1,274.071978,-312.178169424957
Ar,pc-1,548.143956,-311.684181022153
Ar,pc-1,1096.287912,-311.560256300899
Ar,pc-1,2192.575824,-311.529248097806
Ar,pc-1,4385.151648,-311.521494353308
He,pc-1,34.25899725,-2.831987537208
He,pc-1,68.5179945,-2.82873319878
He,pc-1,137.035989,-2.827919452672
He,pc-1,274.071978,-2.827716005933
He,pc-1,548.143956,-2.827665143608
He,pc-1,1096.287912,-2.827652427986
He,pc-1,2192.575824,-2.827649249078
He,pc-1,4385.151648,-2.827648454351
Kr,pc-1,34.25899725,-1691.110699386442
Kr,pc-1,68.5179945,-1416.416522650662
Kr,pc-1,137.035989,-1311.802324399383
Kr,pc-1,274.071978,-1281.317258978688
Kr,pc-1,548.143956,-1273.327333818868
Kr,pc-1,1096.287912,-1271.303920442375
Kr,pc-1,2192.575824,-1270.796386336164
Kr,pc-1,4385.151648,-1270.669396726976
Ne,pc-1,34.25899725,-96.821602823657
Ne,pc-1,68.5179945,-94.133250771718
Ne,pc-1,137.035989,-93.421816082377
Ne,pc-1,274.071978,-93.241175767728
Ne,pc-1,548.143956,-93.195835357596
Ne,pc-1,1096.287912,-93.184488874331
Ne,pc-1,2192.575824,-93.181651540459
Ne,pc-1,4385.151648,-93.180942162397
Ar,pc-2,34.25899725,-347.097187868748
Ar,pc-2,68.5179945,-321.572055463823
Ar,pc-2,137.035989,-314.136311390374
Ar,pc-2,274.071978,-312.187679384338
Ar,pc-2,548.143956,-311.694135197424
Ar,pc-2,1096.287912,-311.570331753729
Ar,pc-2,2192.575824,-311.539354468395
Ar,pc-2,4385.151648,-311.531608489974
He,pc-2,34.25899725,-2.838665379445
He,pc-2,68.5179945,-2.83533993493
He,pc-2,137.035989,-2.83450885266
He,pc-2,274.071978,-2.83430109918
He,pc-2,548.143956,-2.834249161872
He,pc-2,1096.287912,-2.834236177612
He,pc-2,2192.575824,-2.834232931551
He,pc-2,4385.151648,-2.834232120036
Kr,pc-2,34.25899725,-1702.125864804024
Kr,pc-2,68.5179945,-1418.456252921394
Kr,pc-2,137.035989,-1312.135482252669
Kr,pc-2,274.071978,-1281.443720050047
Kr,pc-2,548.143956,-1273.420688379304
Kr,pc-2,1096.287912,-1271.389831719387
Kr,pc-2,2192.575824,-1270.880469563571
Kr,pc-2,4385.151648,-1270.753024509096
Ne,pc-2,34.25899725,-96.872096506312
Ne,pc-2,68.5179945,-94.166183548919
Ne,pc-2,137.035989,-93.451822364642
Ne,pc-2,274.071978,-93.270512307338
Ne,pc-2,548.143956,-93.225006697772
